param_C,param_gamma,mean_test_score
10,0.01,0.982652329749104
100,0.001,0.976057347670251
1.0,0.01,0.9716129032258066
10,0.001,0.9716129032258066
100,0.01,0.9673118279569893
1.0,0.1,0.960573476702509
100,0.1,0.960573476702509
10,0.1,0.9582795698924732
0.1,0.1,0.9451612903225807
0.1,0.01,0.9366308243727599
