,precision,recall,f1-score
Benign,0.9855072463768116,0.9444444444444444,0.9645390070921985
Malignant,0.9111111111111111,0.9761904761904762,0.9425287356321839
accuracy,0.956140350877193,0.956140350877193,0.956140350877193
macro avg,0.9483091787439614,0.9603174603174602,0.9535338713621913
weighted avg,0.9580981439105009,0.956140350877193,0.9564299597121931
